timetocompletesurvey,Pseudonym,Geschlecht,Alter,Familienstand,Kinder,AnzahlKinder,keins,ImChoraktiv,PrivaterMusikunterricht,Stdgehört7TageHerkömmli,Stdgehört7TagePhysische,Stdgehört7TageAufIhren,Stdgehört7TageKostenlos,Stdgehört7Tagekostenpfl,Stdgehört7TageOnlineRa,Stdgehört7TageLiveMusi,WennichMusikhöremacheichni,AktiveSuchenachneuerMusik,Musikistmirimmeretwaswert,CDAlbenAusgaben30Tage,CDSinglesAusgaben30Tage,MusikDVDsBluRaysAusgaben3,VinylAlbenAusgaben30Tage,KostenpflichtigedigitaleAlbum,KostenpflichtigedigitaleTrack,DigitaleMusikAboServicesPau,SonstigedigitaleMusikAboServ,Warumamhäufigstengekauft,datetimeofsurveystart,dateoflastaccess,panel,Bildung,Beschäftigung,Haushaltseinkommen,No_Mainstream_7Likert,KonzerteLiveMusikEventsAus,FestivalsLiveMusikEventsAu,ClubKonzerteLiveMusikEvents,DeluxeBoxenMusikproduktMer,Livestream_WTP
690,3570960379360,weiblich,28,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,30,0,0,0,0,0,0,2,Nein,5,0,5,10,0,2,0,0,0,Gewohnheit,,,3,Bachelor,Studierende/r,501 Euro bis 1.000 Euro,3,0,0,0,0,
360,3240514251520,männlich,44,allein lebend,ja,1,quoted,Nein,Nein,5,0,0,0,0,0,0,4,Nein,3,0,0,0,0,0,0,0,0,Flexibilität,,,3,Hauptschulabschluss,Angestellte/r,1.501 Euro bis 2.000 Euro,4,0,0,0,0,
1192,3498877139920,weiblich,51,in einer festen Partnerschaft zusammenlebend,ja,1,not quoted,Nein,Ja,10,5,0,0,0,15,0,4,Ja,6,20,0,0,0,10,0,0,0,Mobilität,,,3,Fachhochschulreife,Angestellte/r,1.501 Euro bis 2.000 Euro,5,0,0,0,0,
590,3425738555520,weiblich,40,in einer festen Partnerschaft zusammenlebend,ja,1,not quoted,Nein,Ja,5,1,0,0,0,0,0,1,Nein,4,0,0,0,0,0,0,0,0,Atmosphäre,,,3,Abitur,Angestellte/r,2.001 Euro bis 2.500 Euro,4,0,0,0,0,
952,3407213579920,weiblich,64,allein lebend,ja,3,quoted,Nein,Nein,6,1,1,0,0,0,2,1,Nein,4,0,0,0,0,0,0,0,0,Soundqualität,,,3,Mittlere Reife / Realschulabschluss,ohne Beschäftigung,1.001 Euro bis 1.500 Euro,7,0,0,0,0,
976,3970210155440,männlich,55,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,2,0,1,0,2,2,0,1,Ja,5,0,0,0,0,0,0,12,0,Atmosphäre,,,3,Master / Diplom / Magister / Staatsexamen,Angestellte/r,mehr als 5.000 Euro,4,50,0,25,0,
3355,3619666667840,weiblich,25,in einer festen Partnerschaft zusammenlebend,nein,,not quoted,Nein,Ja,0,0,20,0,0,0,0,2,Ja,4,0,0,0,0,0,0,0,0,Gewohnheit,,,3,Master / Diplom / Magister / Staatsexamen,Angestellte/r,501 Euro bis 1.000 Euro,5,0,0,0,0,
799,3903264107280,männlich,55,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,2,0,0,0,0,0,0,7,Nein,4,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,3,Master / Diplom / Magister / Staatsexamen,Angestellte/r,mehr als 5.000 Euro,6,0,0,0,0,
1193,3696745763200,männlich,55,in einer festen Partnerschaft zusammenlebend,ja,3,quoted,Nein,Nein,2,1,3,0,0,0,0,1,Ja,6,30,0,0,0,0,0,0,0,Soundqualität,,,3,Master / Diplom / Magister / Staatsexamen,Sonstiges,3.501 Euro bis 4.000 Euro,5,0,0,0,0,
978,3646490611440,männlich,66,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,5,0,0,0,0,0,0,6,Nein,3,0,0,0,0,0,0,0,0,Sonstiges,,,3,Hauptschulabschluss,ohne Beschäftigung,1.001 Euro bis 1.500 Euro,7,0,0,0,0,
743,3894458547520,männlich,67,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,3,1,0,0,0,0,0,1,Nein,5,0,0,0,0,0,0,0,0,Flexibilität,,,3,Hauptschulabschluss,ohne Beschäftigung,2.501 Euro bis 3.000 Euro,3,0,0,0,0,
1286,3887344899360,männlich,57,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,1,2,0,0,0,0,0,7,Nein,6,20,0,0,0,0,0,0,0,Soundqualität,,,3,Hauptschulabschluss,ohne Beschäftigung,501 Euro bis 1.000 Euro,5,0,0,0,0,
1543,3648138155760,weiblich,17,allein lebend,nein,,quoted,Nein,Nein,2,0,0,0,5,0,0,2,Ja,3,0,0,0,0,0,0,10,0,ich kaufe keine Musik,,,3,Mittlere Reife / Realschulabschluss,Auszubildende/r,weniger als 500 Euro,4,0,0,0,0,
2057,3808935771360,männlich,40,allein lebend,nein,,not quoted,Nein,Ja,20,0,0,0,0,0,0,1,Ja,6,0,0,0,0,0,0,0,0,Gewohnheit,,,3,Mittlere Reife / Realschulabschluss,ohne Beschäftigung,501 Euro bis 1.000 Euro,3,0,0,0,0,
725,3728149563920,männlich,49,allein lebend,ja,1,not quoted,Nein,Nein,2,4,0,0,0,0,0,7,Ja,7,70,0,0,250,0,0,0,0,Soundqualität,,,3,Master / Diplom / Magister / Staatsexamen,Angestellte/r,3.501 Euro bis 4.000 Euro,7,0,0,0,0,
725,3812243771840,weiblich,28,in einer festen Partnerschaft zusammenlebend,nein,,not quoted,Ja,Ja,2,0,0,0,4,0,0,3,Nein,4,0,0,0,0,0,0,3,0,Gewohnheit,,,3,Master / Diplom / Magister / Staatsexamen,Angestellte/r,1.501 Euro bis 2.000 Euro,4,0,0,0,0,
524,3532619211840,männlich,26,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,4,0,0,0,5,12,0,2,Ja,4,0,0,0,0,0,0,6,0,Gewohnheit,,,3,Abitur,Angestellte/r,2.501 Euro bis 3.000 Euro,4,0,0,0,0,
916,3730837707200,männlich,64,allein lebend,ja,2,quoted,Nein,Nein,7,0,0,0,0,0,0,4,Nein,4,0,0,0,0,0,0,0,0,Sonstiges,,,3,Master / Diplom / Magister / Staatsexamen,Sonstiges,2.001 Euro bis 2.500 Euro,3,34,0,0,0,
653,3904156179680,männlich,44,allein lebend,nein,,quoted,Nein,Nein,0,0,4,0,3,2,0,5,Nein,2,0,0,0,0,0,0,0,0,Gewohnheit,,,3,Master / Diplom / Magister / Staatsexamen,Angestellte/r,1.501 Euro bis 2.000 Euro,4,0,0,0,0,
665,3645159043600,männlich,27,in einer festen Partnerschaft zusammenlebend,ja,2,not quoted,Ja,Ja,5,0,2,0,0,5,0,3,Ja,4,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,3,Fachhochschulreife,Angestellte/r,weniger als 500 Euro,7,0,0,0,0,
888,3729624971920,männlich,51,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,10,0,0,0,10,10,0,1,Nein,3,0,0,0,0,0,0,8,0,ich kaufe keine Musik,,,3,Bachelor,Angestellte/r,2.001 Euro bis 2.500 Euro,4,0,0,0,0,
530,3856838851280,männlich,28,allein lebend,nein,,quoted,Nein,Nein,0,0,1,0,0,0,0,4,Nein,1,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,3,Mittlere Reife / Realschulabschluss,ohne Beschäftigung,weniger als 500 Euro,7,0,0,0,0,
886,3568399859680,weiblich,53,allein lebend,ja,1,not quoted,Nein,Ja,1,0,1,2,0,7,0,2,Nein,2,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,3,Fachhochschulreife,Angestellte/r,1.501 Euro bis 2.000 Euro,2,0,0,10,0,
543,3404219099600,männlich,35,in einer festen Partnerschaft zusammenlebend,ja,1,quoted,Nein,Nein,50,5,2,0,0,0,0,3,Ja,4,0,0,0,0,0,0,0,0,Atmosphäre,,,3,Abitur,Angestellte/r,4.001 Euro bis 4.500 Euro,5,0,0,0,0,
1148,3726066515680,weiblich,60,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,20,2,2,1,0,0,0,1,Nein,3,0,0,0,0,0,0,0,0,Sonstiges,,,3,Master / Diplom / Magister / Staatsexamen,Angestellte/r,3.001 Euro bis 3.500 Euro,6,0,0,0,0,
2226,3992077859360,weiblich,51,allein lebend,nein,,quoted,Nein,Nein,3,5,0,0,0,0,0,2,Ja,6,0,0,0,0,0,0,0,0,Sonstiges,,,3,Abitur,Angestellte/r,1.501 Euro bis 2.000 Euro,3,35,0,0,0,
722,3537699059360,männlich,51,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Ja,5,0,0,0,0,0,0,1,Ja,5,0,0,0,0,0,0,0,0,Sonstiges,,,3,Master / Diplom / Magister / Staatsexamen,Selbständige/r,2.501 Euro bis 3.000 Euro,6,0,0,0,0,
648,3646525395840,weiblich,35,in einer festen Partnerschaft zusammenlebend,ja,1,quoted,Nein,Nein,6,0,3,0,0,0,0,1,Nein,4,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,3,Mittlere Reife / Realschulabschluss,Hausmann / Hausfrau,501 Euro bis 1.000 Euro,3,0,0,0,0,
1855,3433459811600,männlich,59,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,16,0,25,30,0,6,0,2,Ja,5,0,0,0,0,0,0,0,0,Mobilität,,,3,Master / Diplom / Magister / Staatsexamen,Angestellte/r,2.501 Euro bis 3.000 Euro,4,25,0,0,0,
1416,3425650475440,männlich,67,in einer festen Partnerschaft zusammenlebend,ja,1,quoted,Nein,Ja,3,4,5,0,0,0,0,2,Ja,4,0,0,0,0,0,0,0,0,Sonstiges,,,3,Fachhochschulreife,Sonstiges,3.001 Euro bis 3.500 Euro,5,0,0,0,0,
855,3245352539360,weiblich,40,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,2,0,0,0,0,4,0,1,Nein,5,0,0,0,0,0,0,0,0,Gewohnheit,,,3,Mittlere Reife / Realschulabschluss,Angestellte/r,2.001 Euro bis 2.500 Euro,4,0,0,0,0,
721,3241030531200,weiblich,35,in einer festen Partnerschaft zusammenlebend,ja,1,quoted,Nein,Nein,7,0,3,0,0,0,0,3,Nein,2,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,3,Abitur,Angestellte/r,2.001 Euro bis 2.500 Euro,4,0,0,0,0,
2735,3645342475760,männlich,58,in einer festen Partnerschaft zusammenlebend,ja,2,not quoted,Nein,Ja,5,1,10,0,12,1,2,1,Ja,7,0,0,0,0,0,0,15,0,Atmosphäre,,,3,Mittlere Reife / Realschulabschluss,Angestellte/r,3.501 Euro bis 4.000 Euro,4,55,0,20,0,
1605,3754647875440,weiblich,34,allein lebend,nein,,quoted,Nein,Nein,0,0,1,0,0,0,0,1,Ja,6,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,3,Abitur,Hausmann / Hausfrau,501 Euro bis 1.000 Euro,6,0,0,0,0,
2681,3617329075360,männlich,27,allein lebend,ja,1,not quoted,Ja,Ja,3,2,4,5,9,5,2,7,Ja,7,20,10,5,0,40,30,40,0,Soundqualität,,,3,Mittlere Reife / Realschulabschluss,Angestellte/r,1.001 Euro bis 1.500 Euro,1,80,120,100,150,
739,3829190731520,weiblich,28,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,2,0,5,0,2,6,0,1,Ja,2,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,3,Mittlere Reife / Realschulabschluss,Angestellte/r,4.001 Euro bis 4.500 Euro,3,0,0,0,0,
1147,3320983819920,weiblich,61,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,1,0,0,0,0,0,0,1,Nein,3,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,3,Hauptschulabschluss,Selbständige/r,1.001 Euro bis 1.500 Euro,3,0,0,0,0,
1882,3727289003520,männlich,55,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,3,0,25,0,3,0,0,1,Ja,5,0,0,0,0,20,5,8,0,Gewohnheit,,,3,Hauptschulabschluss,Angestellte/r,3.501 Euro bis 4.000 Euro,3,0,0,0,0,
845,4019927219600,weiblich,26,in einer festen Partnerschaft zusammenlebend,nein,,not quoted,Ja,Nein,1,0,0,0,15,3,0,1,Nein,5,0,0,0,0,0,0,10,0,ich kaufe keine Musik,,,3,Bachelor,Angestellte/r,2.001 Euro bis 2.500 Euro,3,0,0,0,0,
515,3988355411440,männlich,43,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,40,0,3,0,0,2,0,6,Ja,6,0,0,0,0,0,0,0,0,Atmosphäre,,,3,Master / Diplom / Magister / Staatsexamen,Angestellte/r,2.501 Euro bis 3.000 Euro,3,0,0,0,0,
983,3969518531680,männlich,43,allein lebend,nein,,quoted,Nein,Nein,10,12,15,0,2,3,0,4,Ja,7,16,0,56,30,0,0,9,0,Atmosphäre,,,3,Fachhochschulreife,Angestellte/r,2.001 Euro bis 2.500 Euro,4,0,0,0,40,
715,3247492107200,weiblich,25,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,2,0,10,5,0,0,0,6,Nein,5,10,25,10,20,10,0,0,0,Mobilität,,,3,Mittlere Reife / Realschulabschluss,Angestellte/r,2.001 Euro bis 2.500 Euro,4,0,20,10,0,
1059,3377162371200,männlich,56,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Ja,40,2,0,0,0,10,0,1,Nein,7,0,0,0,50,0,0,0,0,Soundqualität,,,3,Abitur,Angestellte/r,2.501 Euro bis 3.000 Euro,3,0,0,0,0,
663,4016633827760,weiblich,23,in einer festen Partnerschaft zusammenlebend,nein,,not quoted,Nein,Ja,0,0,0,14,0,0,0,1,Ja,1,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,3,Abitur,Studierende/r,1.001 Euro bis 1.500 Euro,3,0,0,0,0,
905,3265924227440,männlich,59,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,1,1,1,0,0,14,2,2,Nein,5,0,0,0,0,0,0,0,0,Atmosphäre,,,3,Mittlere Reife / Realschulabschluss,Sonstiges,1.001 Euro bis 1.500 Euro,5,0,100,0,0,
-1,3341256531840,weiblich,31,allein lebend,nein,,not quoted,Nein,Nein,0,0,10,0,0,1,0,2,Ja,4,0,0,0,0,0,0,0,0,Gewohnheit,,,3,Master / Diplom / Magister / Staatsexamen,Angestellte/r,1.501 Euro bis 2.000 Euro,2,0,0,0,0,
1081,3985297931360,weiblich,65,allein lebend,ja,4,quoted,Nein,Nein,6,1,0,0,0,0,0,3,Nein,2,5,0,5,0,0,0,0,0,Soundqualität,,,3,Hauptschulabschluss,Sonstiges,501 Euro bis 1.000 Euro,2,0,0,0,0,
771,3652015731600,männlich,64,allein lebend UND in einer festen Partnerschaft,ja,1,quoted,Nein,Nein,12,0,0,2,0,1,4,2,Nein,7,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,3,Hauptschulabschluss,Angestellte/r,1.001 Euro bis 1.500 Euro,1,80,0,0,0,
1250,3986835539200,männlich,64,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,28,4,2,1,2,5,0,2,Nein,5,0,0,0,0,40,0,20,0,Atmosphäre,,,3,Master / Diplom / Magister / Staatsexamen,Angestellte/r,1.001 Euro bis 1.500 Euro,5,60,0,0,0,
678,3271128539280,weiblich,31,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,7,0,5,0,0,0,0,2,Nein,5,0,0,0,0,0,0,0,0,Soundqualität,,,3,Abitur,Angestellte/r,1.501 Euro bis 2.000 Euro,3,0,0,0,0,
668,3746386091600,weiblich,58,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,0,0,0,0,0,0,0,1,Nein,1,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,3,Mittlere Reife / Realschulabschluss,Angestellte/r,1.001 Euro bis 1.500 Euro,2,0,0,0,0,
1077,3887635795520,weiblich,59,allein lebend,ja,2,quoted,Nein,Nein,2,3,0,0,0,0,0,2,Nein,6,0,0,25,0,0,0,0,0,Flexibilität,,,3,Mittlere Reife / Realschulabschluss,Sonstiges,501 Euro bis 1.000 Euro,7,0,0,0,0,
1251,3484363819680,männlich,62,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,0,4,20,0,0,0,3,3,Nein,6,50,0,0,0,0,0,0,0,Soundqualität,,,3,Abitur,ohne Beschäftigung,1.501 Euro bis 2.000 Euro,6,0,0,0,0,
716,3858338491200,männlich,51,in einer festen Partnerschaft zusammenlebend,ja,3,quoted,Nein,Nein,10,3,0,0,0,0,0,2,Nein,6,80,0,0,50,0,0,0,0,Soundqualität,,,3,Master / Diplom / Magister / Staatsexamen,Selbständige/r,3.001 Euro bis 3.500 Euro,2,0,0,0,0,
1171,3487792939360,weiblich,40,allein lebend,nein,,quoted,Nein,Nein,8,2,5,3,0,2,0,1,Nein,2,30,0,0,0,9,0,0,0,Gewohnheit,,,3,Fachhochschulreife,Angestellte/r,1.001 Euro bis 1.500 Euro,2,0,90,19,0,
1042,3811988379200,weiblich,52,allein lebend,ja,3,quoted,Nein,Nein,5,1,200,300,0,1,1,2,Nein,5,0,0,20,10,0,0,0,0,Gewohnheit,,,3,Mittlere Reife / Realschulabschluss,Angestellte/r,1.001 Euro bis 1.500 Euro,7,0,0,0,0,
1947,3247600435760,weiblich,33,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,2,0,0,0,0,0,0,1,Nein,1,0,0,0,0,0,0,8,0,ich kaufe keine Musik,,,3,kein Abschluss,Angestellte/r,1.501 Euro bis 2.000 Euro,3,0,0,0,0,
588,3780147587840,weiblich,47,allein lebend,ja,1,quoted,Nein,Nein,10,5,0,1,0,0,0,2,Nein,3,15,0,0,0,0,0,0,0,Flexibilität,,,3,Mittlere Reife / Realschulabschluss,Angestellte/r,1.501 Euro bis 2.000 Euro,4,0,0,0,0,
656,4016820443440,weiblich,29,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,4,0,0,2,0,0,0,1,Nein,5,14,0,0,0,0,0,0,0,Atmosphäre,,,3,Abitur,Angestellte/r,1.501 Euro bis 2.000 Euro,2,0,0,0,0,
881,3673039915840,männlich,42,allein lebend,nein,,quoted,Nein,Ja,1,7,1,0,0,0,0,5,Ja,7,20,0,0,0,0,0,0,0,Gewohnheit,,,3,Abitur,Angestellte/r,1.001 Euro bis 1.500 Euro,6,0,0,0,0,
948,3968314603600,weiblich,41,allein lebend,nein,,not quoted,Nein,Nein,1,2,0,0,0,0,0,3,Ja,3,0,0,0,0,0,0,0,0,Sonstiges,,,3,Master / Diplom / Magister / Staatsexamen,Angestellte/r,2.501 Euro bis 3.000 Euro,7,0,0,0,0,
1423,3857243683520,weiblich,49,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Ja,18,0,10,0,0,1,0,2,Nein,3,0,0,0,0,0,0,0,0,Gewohnheit,,,3,Fachhochschulreife,Angestellte/r,3.001 Euro bis 3.500 Euro,3,0,0,0,0,
1049,3619093755440,männlich,60,in einer festen Partnerschaft zusammenlebend,ja,2,quoted,Nein,Nein,1,2,0,0,0,0,0,1,Nein,4,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,3,Mittlere Reife / Realschulabschluss,Angestellte/r,3.001 Euro bis 3.500 Euro,7,0,0,0,0,
855,3972702043600,männlich,63,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,3,0,0,0,0,0,0,1,Nein,1,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,3,Hauptschulabschluss,ohne Beschäftigung,3.001 Euro bis 3.500 Euro,3,0,0,0,0,
1225,3352088515200,männlich,45,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Ja,0,0,2,0,0,0,0,5,Ja,7,0,0,0,0,0,0,0,0,Gewohnheit,,,3,Fachhochschulreife,Angestellte/r,1.501 Euro bis 2.000 Euro,6,0,0,0,0,
535,3534744235680,männlich,68,in einer festen Partnerschaft zusammenlebend,nein,,not quoted,Ja,Ja,0,0,0,0,0,0,0,4,Nein,1,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,3,Master / Diplom / Magister / Staatsexamen,ohne Beschäftigung,3.001 Euro bis 3.500 Euro,4,0,0,0,0,
950,3401878291280,männlich,50,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Ja,7,0,3,0,3,1,0,4,Ja,4,0,0,0,0,0,0,20,0,ich kaufe keine Musik,,,3,Mittlere Reife / Realschulabschluss,Selbständige/r,3.001 Euro bis 3.500 Euro,4,0,0,0,0,
1030,3501768163920,männlich,64,in einer festen Partnerschaft zusammenlebend,ja,3,quoted,Nein,Nein,1,0,2,0,0,8,0,1,Nein,4,0,0,0,0,0,0,0,0,Sonstiges,,,3,Hauptschulabschluss,Sonstiges,1.501 Euro bis 2.000 Euro,2,0,0,0,0,
606,3256950579440,männlich,59,allein lebend UND in einer festen Partnerschaft,ja,1,quoted,Nein,Nein,50,5,0,0,0,0,0,2,Nein,5,0,0,0,0,0,0,0,0,Sonstiges,,,3,Bachelor,Angestellte/r,1.501 Euro bis 2.000 Euro,6,0,0,0,0,
1419,3431653915440,männlich,38,in einer festen Partnerschaft zusammenlebend,ja,1,quoted,Nein,Nein,1,0,0,0,7,7,0,4,Nein,4,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,3,Mittlere Reife / Realschulabschluss,Angestellte/r,2.001 Euro bis 2.500 Euro,6,0,0,0,0,
814,3372795963440,männlich,41,in einer festen Partnerschaft zusammenlebend,ja,3,not quoted,Nein,Ja,50,0,10,0,0,10,7,1,Nein,5,0,0,0,0,0,0,0,0,Gewohnheit,,,3,Mittlere Reife / Realschulabschluss,Angestellte/r,2.001 Euro bis 2.500 Euro,4,100,0,50,0,
555,3774786451280,männlich,53,in einer festen Partnerschaft zusammenlebend,ja,2,not quoted,Nein,Ja,10,0,0,0,0,0,0,1,Nein,5,0,0,0,0,0,0,0,0,Sonstiges,,,3,Mittlere Reife / Realschulabschluss,Angestellte/r,3.001 Euro bis 3.500 Euro,1,0,0,0,0,
1169,3487752587840,weiblich,23,allein lebend UND in einer festen Partnerschaft,nein,,not quoted,Nein,Ja,4,1,5,0,0,0,0,3,Nein,3,20,0,0,0,0,0,0,0,Atmosphäre,,,3,Abitur,Studierende/r,501 Euro bis 1.000 Euro,4,0,0,0,0,
1056,3991116331280,männlich,54,allein lebend,ja,3,not quoted,Nein,Nein,25,20,0,0,0,0,0,2,Ja,7,150,0,5,0,0,0,0,0,Atmosphäre,,,3,Bachelor,Selbständige/r,1.501 Euro bis 2.000 Euro,4,0,0,0,0,
1009,3582680427440,männlich,49,allein lebend,nein,,not quoted,Nein,Ja,0,0,30,0,0,4,0,5,Ja,7,0,0,0,0,40,300,0,0,Sonstiges,,,3,Mittlere Reife / Realschulabschluss,Selbständige/r,1.001 Euro bis 1.500 Euro,7,0,0,20,0,
781,3983777323840,männlich,54,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,0,0,0,0,0,0,0,4,Nein,2,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,3,Hauptschulabschluss,Angestellte/r,2.501 Euro bis 3.000 Euro,3,0,0,0,0,
579,3531918643520,männlich,26,allein lebend,nein,,quoted,Nein,Nein,2,0,2,0,3,0,0,2,Nein,2,0,0,0,0,0,0,5,0,Gewohnheit,,,3,Master / Diplom / Magister / Staatsexamen,Angestellte/r,2.001 Euro bis 2.500 Euro,2,0,0,0,0,
914,3512607475840,weiblich,66,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,2,0,0,0,0,0,0,1,Nein,4,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,3,Master / Diplom / Magister / Staatsexamen,Sonstiges,501 Euro bis 1.000 Euro,3,0,0,0,0,
654,3890871819360,männlich,65,allein lebend,ja,2,not quoted,Nein,Ja,0,2,2,0,0,0,0,4,Ja,7,0,0,0,0,0,0,0,0,Soundqualität,,,3,Master / Diplom / Magister / Staatsexamen,Selbständige/r,501 Euro bis 1.000 Euro,7,0,0,0,0,
1765,4018872795760,männlich,39,allein lebend,nein,,quoted,Nein,Nein,3,0,0,0,0,0,0,1,Ja,2,0,0,0,0,0,0,10,0,Mobilität,,,3,Abitur,Angestellte/r,2.001 Euro bis 2.500 Euro,3,0,0,0,0,
864,3967660099360,weiblich,34,allein lebend UND in einer festen Partnerschaft,ja,1,not quoted,Ja,Ja,0,5,1,0,0,0,0,4,Ja,7,0,0,0,0,0,0,0,0,Atmosphäre,,,3,Mittlere Reife / Realschulabschluss,Angestellte/r,1.001 Euro bis 1.500 Euro,7,0,0,0,0,
781,3903190595440,männlich,55,allein lebend,ja,1,quoted,Nein,Nein,20,0,25,0,0,0,0,4,Nein,1,0,0,0,0,0,0,0,0,Soundqualität,,,3,Mittlere Reife / Realschulabschluss,ohne Beschäftigung,1.001 Euro bis 1.500 Euro,3,0,0,0,0,
3212,3455487539920,weiblich,68,allein lebend,nein,,quoted,Nein,Nein,45,4,0,0,0,0,0,5,Nein,5,0,30,0,0,0,0,0,0,Soundqualität,,,3,Mittlere Reife / Realschulabschluss,Sonstiges,501 Euro bis 1.000 Euro,3,0,0,0,0,
1231,3374492795760,männlich,49,allein lebend,nein,,quoted,Nein,Nein,7,2,3,0,0,6,0,1,Ja,7,40,0,0,0,20,2,0,0,Sonstiges,,,3,Hauptschulabschluss,ohne Beschäftigung,1.501 Euro bis 2.000 Euro,7,0,0,0,0,
612,3374536379280,männlich,36,allein lebend,ja,2,quoted,Nein,Nein,3,2,0,0,0,5,0,4,Nein,6,0,0,0,0,0,0,0,0,Gewohnheit,,,3,Mittlere Reife / Realschulabschluss,Angestellte/r,2.001 Euro bis 2.500 Euro,4,0,0,0,0,
556,3669487083280,weiblich,47,allein lebend UND in einer festen Partnerschaft,ja,2,quoted,Nein,Nein,10,0,2,0,0,0,0,4,Nein,2,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,3,Master / Diplom / Magister / Staatsexamen,Selbständige/r,501 Euro bis 1.000 Euro,3,0,0,0,0,
607,3746862035920,männlich,49,in einer festen Partnerschaft zusammenlebend,nein,,quoted,Nein,Nein,0,0,0,2,0,0,0,6,Nein,3,0,0,0,0,0,0,0,0,ich kaufe keine Musik,,,3,Abitur,Selbständige/r,1.501 Euro bis 2.000 Euro,3,0,0,0,0,
764,3914312723520,männlich,43,in einer festen Partnerschaft zusammenlebend,ja,1,quoted,Nein,Nein,10,0,6,0,0,0,0,1,Nein,4,0,0,0,0,0,0,0,0,Gewohnheit,,,3,Master / Diplom / Magister / Staatsexamen,Angestellte/r,3.001 Euro bis 3.500 Euro,1,0,0,0,0,
632,3646451043680,männlich,48,in einer festen Partnerschaft zusammenlebend,ja,1,quoted,Nein,Nein,5,0,0,0,0,5,0,1,Nein,1,0,0,0,0,0,0,0,0,Sonstiges,,,3,Mittlere Reife / Realschulabschluss,Sonstiges,2.001 Euro bis 2.500 Euro,7,0,0,0,0,
1118,3696896923840,männlich,33,allein lebend,nein,,not quoted,Nein,Ja,0,0,0,0,0,0,0,7,Nein,4,0,0,0,0,0,0,0,0,Sonstiges,,,3,Mittlere Reife / Realschulabschluss,ohne Beschäftigung,weniger als 500 Euro,7,0,0,0,0,
1037,3584294027680,männlich,50,allein lebend,nein,,quoted,Nein,Nein,40,20,1,0,0,1,0,1,Ja,7,100,0,30,200,0,0,0,0,Soundqualität,,,3,Mittlere Reife / Realschulabschluss,Angestellte/r,1.501 Euro bis 2.000 Euro,6,0,0,0,50,
